_id,url,price,brand,cpu,memory,weight,screen_size,screen_resolution,graphic_name,graphic_type,storage,battery,refresh_rate
65486dac5b123315f9eefd16,https://www.newegg.com/ink-black-msi-summit-e14evo-a12m-026-work-business/p/N82E16834156153,1009,MSI,Intel Core i5-1240P 1.70 GHz,16GB,4.29 lbs.,14.0,1920 x 1200,Intel Iris Xe Graphics,Integrated Card,512 GB NVMe,72 whrs,60 Hz
65486dad5b123315f9eefd17,https://www.newegg.com/quiet-blue-asus-m6500xv-eb96-content-creation-home-personal/p/N82E16834236470,1399.99,ASUS,AMD Ryzen 9 7940HS 4.00 GHz,32GB,3.97 lbs.,15.6,1920 x 1080,NVIDIA GeForce RTX 4060 Laptop GPU,Dedicated Card,1 TB PCIe,70 whrs,144 Hz
65486dad5b123315f9eefd18,https://www.newegg.com/charcoal-gray-lg-14u70q-n-apc5u1/p/N82E16834325105,679.99,LG,Ryzen 5 5625U,8GB LPDDR4X,,14.0,1920 x 1200,AMD Radeon Graphics,,512 GB,,60 Hz
65486dad5b123315f9eefd19,https://www.newegg.com/classic-black-msi-modern-15-h-b13m-022us-work-business/p/N82E16834156558,699,MSI,Intel Core i5-13420H 2.10 GHz,32GB,3.75 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,1 TB PCIe,39.3 whrs,60 Hz
65486dad5b123315f9eefd1a,https://www.newegg.com/charcoal-gray-lg-16u70q-n-apc7u1-home-personal/p/N82E16834325101,1299.99,LG,Intel Core i7-1260P 2.10 GHz,16GB,2.65 lbs.,16.0,2560 x 1600,Intel Iris Xe Graphics,Integrated Card,1 TB PCIe,80 whrs,60 Hz
65486dad5b123315f9eefd1b,https://www.newegg.com/steel-gray-acer-swift-x-14-sfx14-71g-76lc-content-creation-home-personal/p/N82E16834360295,1437.99,Acer,Intel Core i7-13700H 2.40 GHz,16 GB LPDDR5,3.42 lbs.,14.5,2880 x 1800,NVIDIA GeForce RTX 4050 Laptop GPU,Dedicated Card,1 TB PCIe,,60 Hz
65486dad5b123315f9eefd1c,https://www.newegg.com/quiet-blue-asus-vivobook-pro-k3500ph-db51-home-personal/p/N82E16834236061,934.99,ASUS,Itel Core i5-11300H 3.10 GHz,8GB,3.64 lbs.,15.6,1920 x 1080,NVIDIA GeForce GTX 1650 Max-Q,Dedicated Card,512 GB PCIe,63 whrs,60 Hz
65486dad5b123315f9eefd1d,https://www.newegg.com/steel-gray-acer-aspire-5-a515-58m-54lg-home-personal/p/N82E16834360278,599.99,Acer,Intel Core i5-1335U 1.30 GHz,16 GB LPDDR5,3.92 lbs.,15.6,1920 x 1080,Intel Iris Xe Graphics,Integrated Card,512 GB PCIe,,60 Hz
65486dae5b123315f9eefd1e,https://www.newegg.com/abyss-blue-lenovo-ideapad-slim-5-82xg0019us-home-personal/p/N82E16834840210,619.99,Lenovo,AMD Ryzen 7 7730U 2.00 GHz,16GB,4.16 lbs.,16.0,1920 x 1200,AMD Radeon Graphics,Integrated Card,512 GB NVMe,56.6 whrs,60 Hz
65486dae5b123315f9eefd1f,https://www.newegg.com/black-asus-b1400cea-xh54-home-personal/p/2WC-000N-05DF7,511.75,ASUS,Intel Core i5-1135G7 4 Core Processor 2.4 GHz,8GB,1.94 Pounds,14.0,1920 x 1080,Integrated Graphics,Integrated Card,512 GB,,60 Hz
