Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
asus,AMD,3,7320,4.0,8,LPDDR5,5500,256,15.0,1920 x 1080,60,Intel,1.0,3,8990000
asus,Intel,5,11400,4.0,16,DDR4,3200,512,15.0,1920 x 1080,144,NVIDIA,2.0,3,17990000
asus,Intel,5,12500,4.0,16,DDR4,3200,512,15.0,1920 x 1080,144,Intel,2.0,,20490000
asus,AMD,5,7520,4.0,16,LPDDR5,5500,512,14.0,1920 x 1080,60,AMD,1.0,,13490000
asus,AMD,5,7530,4.0,16,DDR4,,512,14.0,1920 x 1200,60,Intel,1.0,3,16490000
asus,AMD,5,7530,,16,DDR4,,512,15.0,1920 x 1080,60,Intel,1.0,50,15990000
asus,Intel,3,1115,4.0,8,DDR4,3200,256,14.0,1920 x 1080,60,Intel,1.0,,8990000
asus,Intel,5,11400,4.0,16,DDR4,3200,512,15.0,1920 x 1080,144,NVIDIA,2.0,3,17990000
asus,Intel,5,11400,4.0,16,DDR4,3200,512,15.0,1920 x 1080,144,NVIDIA,2.0,3,17990000
asus,AMD,3,7320,4.0,8,LPDDR5,5500,256,15.0,1920 x 1080,60,Intel,1.0,3,8990000
asus,Intel,3,1115,4.0,8,DDR4,3200,256,14.0,1920 x 1080,60,Intel,1.0,,8990000
asus,Intel,3,1215,4.0,8,DDR4,3200,512,16.0,1920 x 1200,60,Intel,1.0,3,10790000
asus,AMD,5,7530,4.0,16,DDR4,,512,14.0,1920 x 1200,60,Intel,1.0,3,16490000
asus,AMD,5,7520,4.0,16,LPDDR5,5500,512,14.0,1920 x 1080,60,AMD,1.0,,13490000
asus,Intel,5,13500,4.0,16,DDR4,3200,512,15.0,1920 x 1080,60,Intel,1.0,,17990000
asus,AMD,5,7530,,16,DDR4,,512,15.0,1920 x 1080,60,Intel,1.0,50,15990000
asus,Intel,5,12500,4.0,16,DDR4,3200,512,15.0,1920 x 1080,144,Intel,2.0,,20490000
asus,Intel,5,13500,4.0,8,DDR4,3200,512,14.0,2880 x 1800,90,Intel,1.0,3,16990000
asus,Intel,5,11400,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,Intel,2.0,,17990000
asus,AMD,7,7735,4.0,8,DDR5,4800,512,15.0,1920 x 1080,144,NVIDIA,2.0,,25490000
asus,Intel,5,1335,4.0,16,DDR4,,512,15.0,1920 x 1080,60,Intel,1.0,42,16490000
asus,Intel,3,1215,,8,DDR4,,256,14.0,1920 x 1080,60,,1.0,3,9990000
asus,Intel,5,1335,4.0,8,DDR4,3200,512,16.0,1920 x 1200,60,,1.0,3,15490000
asus,Intel,7,11800,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,NVIDIA,2.0,,19490000
asus,Intel,9,13900,5.0,16,DDR4,,512,14.0,1920 x 1200,60,Intel,1.0,,23490000
asus,AMD,7,7735,4.0,8,DDR5,4800,512,15.0,1920 x 1080,144,AMD,2.0,,26990000
asus,AMD,7,5700,4.0,8,DDR4,3200,512,15.0,1920 x 1080,60,AMD,1.0,65,13490000
asus,Intel,7,1360,5.0,16,DDR4,3200,512,15.0,1920 x 1080,60,,1.0,3,21990000
asus,Intel,5,12450,4.0,8,DDR5,4800,512,15.0,1920 x 1080,144,Intel,2.0,,18990000
asus,Intel,5,1340,4.0,16,DDR5,4800,512,14.0,2880 x 1800,90,Intel,1.0,4,23990000
asus,AMD,5,7530,4.0,16,DDR4,3200,512,15.0,1920 x 1080,60,,1.0,3,15990000
asus,Intel,5,12500,4.0,8,DDR4,3200,512,15.0,1920 x 1080,60,Intel,1.0,,16490000
asus,Intel,7,12700,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,Intel,2.0,,28990000
asus,AMD,7,7735,4.0,16,DDR5,,512,15.0,1920 x 1080,144,NVIDIA,2.0,90,26490000
asus,AMD,7,7730,,16,DDR4,,512,16.0,1920 x 1200,60,AMD,1.0,42,15990000
asus,Intel,7,12700,,16,,,512,15.0,1920 x 1080,144,NVIDIA,2.0,90,29990000
asus,Intel,5,1240,,8,DDR4,3200,512,15.0,1920 x 1080,60,Intel,1.0,,14490000
asus,Intel,5,1240,4.0,8,DDR5,4800,512,14.0,2880 x 1800,90,Intel,1.0,4,20490000
asus,Intel,5,1340,4.0,16,LPDDR5,5500,512,14.0,2880 x 1800,90,Intel,1.0,,25990000
asus,Intel,7,1360,5.0,16,DDR5,4800,512,14.0,2880 x 1800,90,Intel,1.0,,30490000
asus,Intel,3,1115,4.0,8,DDR4,,512,15.0,1920 x 1080,,Intel,1.0,,9590000
asus,Intel,7,1360,,16,DDR5,,512,14.0,2880 x 1800,90,Intel,1.0,,27990000
asus,Intel,7,13650,4.0,16,DDR5,4800,512,16.0,1920 x 1200,165,Intel,3.0,90,37490000
asus,AMD,5,4600,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,,2.0,,16990000
asus,Intel,9,13900,,16,DDR4,3200,512,14.0,2880 x 1800,90,Intel,1.0,3,23990000
asus,Intel,7,12700,4.0,16,DDR4,,512,15.0,1920 x 1080,144,NVIDIA,2.0,,27490000
asus,Intel,7,12700,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,Intel,2.0,,27990000
asus,Intel,5,13500,4.0,16,DDR5,,512,15.0,2880 x 1620,120,,1.0,,30990000
