Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
asus,AMD,3,7,4.1,8,LPDDR5,5500,256,15,1920x1080,60,Intel,1.8,42,8990000
asus,Intel,5,11,4.5,16,DDR4,3200,512,15,1920x1080,144,NVIDIA,2.3,42,17990000
asus,Intel,5,12,4.5,16,DDR4,3200,512,15,1920x1080,144,Intel,2.2,,20490000
asus,AMD,5,7,4.3,16,LPDDR5,5500,512,14,1920x1080,60,AMD,1.3,,13490000
asus,AMD,5,7,4.3,16,DDR4,,512,14,1920x1200,60,Intel,1.5,42,16490000
asus,AMD,5,7,,16,DDR4,,512,15,1920x1080,60,Intel,1.7,50,15990000
asus,Intel,3,11,4.1,8,DDR4,3200,256,14,1920x1080,60,Intel,1.6,,8990000
asus,Intel,5,11,4.5,16,DDR4,3200,512,15,1920x1080,144,NVIDIA,2.3,42,17990000
asus,Intel,5,11,4.5,16,DDR4,3200,512,15,1920x1080,144,NVIDIA,2.3,42,17990000
asus,AMD,3,7,4.1,8,LPDDR5,5500,256,15,1920x1080,60,Intel,1.8,42,8990000
asus,Intel,3,11,4.1,8,DDR4,3200,256,14,1920x1080,60,Intel,1.6,,8990000
asus,Intel,3,12,4.4,8,DDR4,3200,512,16,1920x1200,60,Intel,1.68,42,10790000
asus,AMD,5,7,4.3,16,DDR4,,512,14,1920x1200,60,Intel,1.5,42,16490000
asus,AMD,5,7,4.3,16,LPDDR5,5500,512,14,1920x1080,60,AMD,1.3,,13490000
asus,Intel,5,13,4.7,16,DDR4,3200,512,15,1920x1080,60,Intel,1.7,,17990000
asus,AMD,5,7,,16,DDR4,,512,15,1920x1080,60,Intel,1.7,50,15990000
asus,Intel,5,12,4.5,16,DDR4,3200,512,15,1920x1080,144,Intel,2.2,,20490000
asus,Intel,5,13,4.7,8,DDR4,3200,512,14,2880x1800,90,Intel,1.6,42,16990000
asus,Intel,5,11,4.5,8,DDR4,3200,512,15,1920x1080,144,Intel,2.3,,17990000
asus,AMD,7,7,4.7,8,DDR5,4800,512,15,1920x1080,144,NVIDIA,2.2,,25490000
asus,Intel,5,13,4.6,16,DDR4,,512,15,1920x1080,60,Intel,1.7,42,16490000
asus,Intel,3,12,,8,DDR4,,256,14,1920x1080,60,Intel,1.4,42,9990000
asus,Intel,5,13,4.6,8,DDR4,3200,512,16,1920x1200,60,Intel,1.68,42,15490000
asus,Intel,7,11,4.6,8,DDR4,3200,512,15,1920x1080,144,NVIDIA,2.3,,19490000
asus,Intel,9,13,5.4,16,DDR4,,512,14,1920x1200,60,Intel,1.5,,23490000
asus,AMD,7,7,4.7,8,DDR5,4800,512,15,1920x1080,144,AMD,2.2,,26990000
asus,AMD,7,5,4.3,8,DDR4,3200,512,15,1920x1080,60,AMD,1.8,65,13490000
asus,Intel,7,13,5,16,DDR4,3200,512,15,1920x1080,60,Intel,1.7,42,21990000
asus,Intel,5,12,4.4,8,DDR5,4800,512,15,1920x1080,144,Intel,2,,18990000
asus,Intel,5,13,4.6,16,DDR5,4800,512,14,2880x1800,90,Intel,1.39,60,23990000
asus,AMD,5,7,4.3,16,DDR4,3200,512,15,1920x1080,60,Intel,1.7,42,15990000
asus,Intel,5,12,4.5,8,DDR4,3200,512,15,1920x1080,60,Intel,1.7,,16490000
asus,Intel,7,12,4.7,8,DDR4,3200,512,15,1920x1080,144,Intel,2.2,,28990000
asus,AMD,7,7,4.7,16,DDR5,,512,15,1920x1080,144,NVIDIA,2.2,90,26490000
asus,AMD,7,7,,16,DDR4,,512,16,1920x1200,60,AMD,1.88,42,15990000
asus,Intel,7,12,,16,,,512,15,1920x1080,144,NVIDIA,2.2,90,29990000
asus,Intel,5,12,,8,DDR4,3200,512,15,1920x1080,60,Intel,1.7,,14490000
asus,Intel,5,12,4.4,8,DDR5,4800,512,14,2880x1800,90,Intel,1.39,60,20490000
