Manufacturer,CPU Name,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),Weight (kg),Battery,Price (VND)
hp,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,256,14.0,1920x1080,60,1.41,41.0,12990000
hp,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,512,15.6,1920x1080,60,1.69,41.0,13690000
hp,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.7,41.0,18890000
hp,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,14.0,1920x1080,60,1.47,41.0,18590000
hp,Intel Core i3 Alder Lake chuỗi N - N305,Intel,3,,1.8,8,DDR4,3200,256,14.0,1920x1080,60,1.41,41.0,11990000
hp,Intel Core i5 Alder Lake - 1240P,Intel,5,12,1.7,8,DDR4,3200,512,15.6,1920x1080,60,1.72,41.04,19790000
hp,Intel Core i7 Alder Lake - 1255U,Intel,7,12,1.7,8,DDR4,3200,512,15.6,1920x1080,60,1.69,41.0,20890000
hp,Intel Core i5 Alder Lake - 12450H,Intel,5,12,2.0,16,DDR4,3200,512,15.6,1920x1080,144,2.29,52.5,24590000
hp,AMD Ryzen 5 - 7520U,AMD,5,7,2.8,8,DDR4,3200,512,14.0,1920x1080,60,1.36,41.0,14190000
hp,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,256,14.0,1920x1080,60,1.47,41.0,17590000
hp,Intel Core i3 Tiger Lake - 1115G4,Intel,3,11,3.0,8,DDR4,3200,512,15.6,1920x1080,60,1.7,41.0,13690000
hp,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,3200,512,14.0,1920x1080,60,1.53,43.0,24290000
hp,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,14.0,1920x1080,60,1.41,43.0,19690000
hp,Intel Core i3 Tiger Lake - 1115G4,Intel,3,11,3.0,8,DDR4,3200,256,14.0,1920x1080,60,1.47,41.0,12990000
hp,Intel Core i7 Alder Lake - 1250U,Intel,7,12,1.1,16,LPDDR4,4267,512,13.3,2880x1800,60,1.34,66.0,32990000
hp,AMD Ryzen 5 - 6600H,AMD,5,6,3.3,8,DDR5,4800,512,16.1,1920x1080,144,2.4,70.0,26490000
hp,Intel Core i5 Alder Lake - 12450H,Intel,5,12,2.0,16,DDR4,3200,512,15.6,1920x1080,144,2.31,70.0,27990000
hp,Intel Core i5 Alder Lake - 1240P,Intel,5,12,1.7,16,DDR4,3200,512,15.6,1920x1080,60,1.72,41.0,20990000
hp,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,256,15.6,1920x1080,60,1.74,41.0,15290000
hp,Intel Core i5 Alder Lake - 1230U,Intel,5,12,1.0,16,LPDDR4X,4266,512,13.3,2880x1800,60,1.34,66.0,29590000
hp,AMD Ryzen 5 - 5625U,AMD,5,5,2.3,8,DDR4,3200,512,14.0,1920x1080,60,1.47,41.0,13990000
hp,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,3200,512,14.0,1920x1080,60,1.39,41.04,19590000
hp,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,3200,512,14.0,1920x1080,60,1.39,41.04,18790000
hp,Intel Core i7 Alder Lake - 1255U,Intel,7,12,1.7,16,DDR4,3200,512,13.3,1920x1080,60,1.28,42.0,27790000
hp,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,16,DDR4,3200,512,13.3,1920x1080,60,1.28,42.0,23390000
hp,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,13.3,1920x1080,60,1.22,42.0,27790000
hp,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,16,DDR5,5200,512,16.1,1920x1080,144,2.34,70.0,29690000
hp,Intel Core i9 Alder Lake - 12900H,Intel,9,12,2.5,32,DDR5,4800,512,16.0,3840x2400,60,2.32,83.0,65390000
hp,AMD Ryzen 9 - 6900HX,AMD,9,6,3.3,32,DDR5,4800,1024,16.1,2560x1440,165,2.35,83.0,62890000
hp,Intel Core i7 Alder Lake - 1255U,Intel,7,12,1.7,16,LPDDR5,4800,1024,13.5,1920x1280,60,0.99,68.0,52590000
hp,AMD Ryzen 7 - 6800H,AMD,7,6,3.2,16,DDR5,4800,1024,16.1,2560x1440,165,2.35,83.0,50890000
hp,Intel Core i7 Alder Lake - 1255U,Intel,7,12,1.7,16,DDR5,4800,512,14.0,1920x1200,60,1.35,51.0,49990000
hp,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,14.0,1920x1080,60,1.53,43.0,27590000
hp,AMD Ryzen 7 - 7840HS,AMD,7,7,3.8,16,DDR5,5600,512,16.1,1920x1080,144,2.34,70.0,31690000
hp,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,15.6,1920x1080,60,1.79,51.0,26990000
hp,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,15.6,1920x1080,60,1.74,41.0,26590000
hp,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,15.6,1920x1080,60,1.69,41.0,25290000
hp,Intel Core i7 Alder Lake - 1260P,Intel,7,12,2.1,16,DDR4,3200,512,15.6,1920x1080,60,1.74,41.04,25290000
hp,Intel Core i7 Alder Lake - 1255U,Intel,7,12,1.7,16,DDR4,3200,512,14.0,1920x1080,60,1.41,43.0,25190000
hp,Intel Core i7 Alder Lake - 1255U,Intel,7,12,1.7,16,DDR4,3200,512,14.0,1920x1080,60,1.51,43.0,26990000
hp,Intel Core i7 Alder Lake - 1255U,Intel,7,12,1.7,8,DDR4,3200,512,15.6,1920x1080,60,1.74,41.0,24590000
hp,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,3200,512,15.6,1920x1080,60,1.74,41.0,22290000
hp,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,3200,512,15.6,1920x1080,60,1.79,51.0,22590000
hp,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,3200,512,14.0,1920x1080,60,1.53,43.0,22890000
hp,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,3200,512,15.6,1920x1080,60,1.69,41.0,21290000
hp,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.74,41.04,20590000
hp,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,14.0,1920x1080,60,1.39,41.04,21990000
hp,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,13.3,1920x1080,60,1.28,42.0,22190000
hp,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.74,41.0,19990000
hp,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.69,41.0,19990000
hp,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.74,51.0,21290000
hp,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.74,41.04,20590000
hp,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,256,14.0,1920x1080,60,1.53,43.0,16590000
hp,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,256,14.0,1920x1080,60,1.517,43.0,16590000
hp,Intel Core i5 Alder Lake - 1240P,Intel,5,12,1.7,8,DDR4,3200,256,15.6,1920x1080,60,1.72,41.04,18790000
hp,Intel Core i3 Raptor Lake - 1315U,Intel,3,13,1.2,8,DDR4,3200,256,15.6,1920x1080,60,1.68,41.0,15290000
hp,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,256,15.6,1920x1080,60,1.74,41.0,14990000
lenovo,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,256,15.6,1920x1080,60,1.63,45.0,13890000
lenovo,AMD Ryzen 5 - 7520U,AMD,5,7,2.8,8,LPDDR5,5500,256,15.6,1920x1080,60,1.58,42.0,12690000
hp,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.74,41.04,20590000
lenovo,AMD Ryzen 5 - 5625U,AMD,5,5,2.3,8,DDR4,3200,512,14.0,1920x1080,60,1.43,38.0,13190000
lenovo,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,256,15.6,1920x1080,60,1.63,45.0,10990000
lenovo,AMD Ryzen 5 - 7530U,AMD,5,7,2.0,16,DDR4,3200,512,14.0,1920x1080,60,1.17,47.0,17990000
lenovo,AMD Ryzen 7 - 5700U,AMD,7,5,1.8,16,DDR4,3200,512,15.6,1920x1080,60,1.61,42.0,13990000
lenovo,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,512,15.6,1920x1080,60,1.63,45.0,14690000
lenovo,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.85,57.0,19490000
lenovo,AMD Ryzen 5 - 5500H,AMD,5,5,3.3,16,DDR4,3200,512,15.6,1920x1080,144,2.25,45.0,18990000
lenovo,Intel Core i5 Tiger Lake - 1155G7,Intel,5,11,2.5,8,DDR4,3200,512,15.6,1920x1080,60,1.65,45.0,14490000
lenovo,Intel Core i5 Alder Lake - 12450H,Intel,5,12,2.0,16,LPDDR5,4800,512,15.6,1920x1080,60,1.62,47.0,15490000
lenovo,Intel Core i7 Alder Lake - 1255U,Intel,7,12,1.7,16,DDR4,3200,1024,15.6,1920x1080,60,1.63,45.0,18990000
lenovo,Intel Core i5 Alder Lake - 12450H,Intel,5,12,2.0,16,LPDDR5,4800,1024,15.6,1920x1080,60,1.62,47.0,16490000
lenovo,Intel Core i7 Raptor Lake - 13620H,Intel,7,13,2.4,16,DDR5,5200,512,15.6,1920x1080,144,2.4,60.0,31990000
lenovo,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,14.0,1920x1080,60,1.44,56.5,18990000
lenovo,Intel Core i3 Tiger Lake - 1115G4,Intel,3,11,3.0,8,DDR4,3200,256,15.6,1920x1080,60,1.65,45.0,10490000
lenovo,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,LPDDR5,5200,512,14.0,1920x1200,60,1.49,71.0,28990000
lenovo,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.63,45.0,17990000
lenovo,Intel Core i5 Alder Lake - 1240P,Intel,5,12,1.7,16,LPDDR5,4800,512,14.0,2880x1800,90,1.42,56.5,24990000
lenovo,Intel Core i5 Raptor Lake - 13420H,Intel,5,13,2.1,16,DDR5,5200,512,15.6,1920x1080,144,2.4,60.0,28990000
lenovo,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,16,DDR5,5200,512,16.0,2560x1600,165,2.4,80.0,36990000
lenovo,Intel Core i7 Tiger Lake - 1165G7,Intel,7,11,2.8,16,DDR4,3200,1024,13.0,2160x1350,60,1.168,41.0,36490000
lenovo,Intel Core i7 Tiger Lake - 1165G7,Intel,7,11,2.8,16,LPDDR4X,4266,1024,13.3,2560x1600,60,0.966,50.0,34990000
lenovo,Intel Core i5 Tiger Lake - 1135G7,Intel,5,11,2.4,8,DDR4,3200,512,13.0,2160x1350,60,1.168,41.0,28490000
lenovo,Intel Core i7 Alder Lake - 1260P,Intel,7,12,2.1,16,DDR4,3200,512,15.6,1920x1080,60,1.7,45.0,28690000
lenovo,Intel Core i5 Alder Lake - 1240P,Intel,5,12,1.7,16,LPDDR5,4800,512,14.0,2880x1800,90,1.42,71.0,30990000
lenovo,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,16,LPDDR5,5200,512,14.0,1920x1200,60,1.49,71.0,25990000
lenovo,Intel Core i7 Alder Lake - 1255U,Intel,7,12,1.7,16,DDR4,3200,512,14.0,1920x1080,60,1.64,45.0,25690000
lenovo,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,15.6,1920x1080,60,1.7,45.0,25990000
lenovo,Intel Core i7 Alder Lake - 1260P,Intel,7,12,2.1,16,LPDDR5,4800,512,14.0,2880x1800,90,1.42,56.5,27990000
lenovo,Intel Core i5 Alder Lake - 1240P,Intel,5,12,1.7,8,DDR4,3200,512,14.0,1920x1080,60,1.4,60.0,23690000
lenovo,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,3200,512,15.6,1920x1080,60,1.7,45.0,22590000
lenovo,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,3200,512,15.6,1920x1080,60,1.67,38.0,17990000
lenovo,AMD Ryzen 5 - 5625U,AMD,5,5,2.3,8,DDR4,3200,256,14.0,1920x1080,60,1.43,45.0,14890000
lenovo,Intel Core i3 Raptor Lake - 1315U,Intel,3,13,1.2,8,DDR4,3200,512,14.0,1920x1080,60,1.41,38.0,13690000
lenovo,AMD Ryzen 5 - 5625U,AMD,5,5,2.3,8,DDR4,3200,512,15.6,1920x1080,60,1.7,38.0,13990000
lenovo,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,512,15.6,1920x1080,60,1.63,45.0,11790000
dell,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,512,15.6,1920x1080,120,1.67,41.0,14790000
dell,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,2666,256,15.6,1920x1080,120,1.9,41.0,13690000
dell,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,2666,256,15.6,1920x1080,120,1.83,41.0,13990000
lenovo,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,DDR4,3200,512,16.0,1920x1200,60,1.97,47.0,27890000
dell,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,2666,512,15.6,1920x1080,120,1.9,41.0,18990000
dell,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,2666,512,15.6,1920x1080,120,1.9,41.0,14490000
dell,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,15.6,1920x1080,120,1.65,54.0,25290000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,2666,512,15.6,1920x1080,120,1.66,41.0,19990000
dell,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,2666,256,15.6,1920x1080,120,1.9,41.0,18590000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,2666,512,15.6,1920x1080,120,1.66,41.0,18490000
dell,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,8,DDR4,2666,512,15.6,1920x1080,120,1.66,54.0,21990000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,2666,512,14.0,1920x1080,60,1.44,41.0,18490000
dell,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,15.6,1920x1080,120,1.9,41.0,19790000
dell,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,256,16.0,1920x1080,60,1.87,54.0,19790000
